category,description,label
Household,Ezellohub Cake Box 10 x 10 x 4.5 Inch Pack of 10 White Boxes Best Premium Quality Cake Box,3
Books,Public Administration,0
Electronics,"Zaptin 2nd Gen MP4 Player with Voice Recorder/FM Radio/Video/Music Player Product Description  Portable Mp3 Mp4 player, video player, music player, media player, audio player with photo viewer, E-book reader, voice recorder, games and movies. Please note this mp4 player is not an apple product and does not support iTunes. 1.8 inch TFT LCD, full color display support AMV video, built-in game, digital record function, flash disk storage function, E-book function, support text file. 1.78 inch high resolution real color LCD screen. Also note that this has no inbuilt memory so please use one external memory card of any size upto 32 GB. Features:  2nd mp4 inspire you to listen music on it and it is very easy to play music having many functions which you can set by your choice like touch the key to play the songs then you can run this program smoothly without selecting one after other for this just make a playlist and add your favorite songs in it to play then you can enjoy your work without any disturbance. This device give you some options to play your most wantedsongs . Similarly you can also play your favorite clips or videos by following the same options with the facility of Rewind, pause and forward preferences along with video recorder feature which make it more attractive to catch moments of life.c Specification: ÃÂÂ Built-in polymer Lithium battery  ÃÂÂ A-B repeat function ÃÂÂ With FM radio stereo radio ÃÂÂ Built-in loudspeaker (optional) ÃÂÂ Supports audio formats: MP3 player, WMA, WMV and WAV ÃÂÂ Supports video formats: 3GP, MP4 player, AVI Time: 1-2h. Bluetooth Edition: 3.0     One Year Replacement warranty",2
Clothing & Accessories,"Pink Flamingo Women's Silicone Bra Strap Shoulder Cushion (Skin, Free Size) Get over those irritating strap marks on your shoulders and yet wear your bra comfortably with these shoulder strap cushions. Prevent straps from digging into your skin Skin colored cushions can be blended with any strap color Let you straps not fall off Supports full busted bras Product Colours may slighlty vary due to photographic lighting sources or monitor settings",1
Books,"General Knowledge Capsule 2019  with Current Affairs Update About the Author Disha Experts is a team of most renowned and prolific content writers pioneering in School and Test Prep segments (Competitive Exams & Government Vacancies). It consists of more than 30 experts comprising of PhDs, B-Techs, PGs, etc. working full-time with decades of experience in various academic and competitive exam verticals. Disha Experts has emerged as a think tank in the School and Test Prep segments providing the most updated (latest pattern & syllabus-wise) to-the-point student friendly (relevant & easy-to-understand presentation) content such that the aspirants can give their best.",0
Electronics,"Nikon A211 8 x 42 Binoculars The Aculon A211 8x42 binoculars feature 8-power multicoated lenses and 42mm objectives fabricated with Nikon's exclusive lead and arsenic free Eco-Glass. The BaK4 Porro prism systems within all Aculon A211 binoculars deliver a high quality image under a multitude of lighting conditions, making these binoculars effective from dawn till dusk. All together the Aculon A211 8x42 binoculars are a compact, high-quality, and cost effective choice.",2
Household,"Woodenclave Multicolour African Hand Carved Decorative Mask for Wall Decor | Room Decor | Design 6 Color Name:Design 6   These Masks Are Brilliantly Hand Crafted And Detailed Out Of Wood, See The Magnificent Detail Done By The Master Craftsmen. This Beautifully Detailed Wooden Tiki Mask Is One of A Kind Creation. We Have Been Creating, Collecting And Importing Collective Art For More Than 10 Years. We Bring Direct To You The Finest Crafted Art of The Best Quality And Price. Size of This Mask Is Approx 19-20 Inches High X 6.5 X 1 Masks Are All Different Designs.",3
Household,"Rachees Dust Hair Remover Cloth Dry Cleaning Brush Double-Sides-Assorted Color Magic lint remover cloth dry cleaning brush The quick and easy way to eliminate fluff, lint, dust and crumbs Perfect for keeping your suit looking smart, your couch looking clean and your fabrics looking fantastic Clothes lint remover quickly removes lint, hair and fluff from clothes and upholstery in an instant Material: velour + plastic Size: 26*6*3cm/10.22*2.36*1.18inch app. Color: As shown in the picture Package Included: 1 x Hair Remover",3
Electronics,"Belkin MIXIT Duratek Unbreakable Kevlar Lightning to USB 2.0 A Charge and Sync Cable for iPhone, iPads & iPods, 4 Feet (Silver) Colour:Silver   Not just any charge cable, DuraTek was forged from superior quality materials for ultimate durability. Kevlar fibres reinforce the inner wiring for added strength, abrasion-resistant nylon forms a tough outer jacket, and highly flexible insulation minimizes damage from friction. The strength created by these resilient ingredients is further enhanced by smart design details to reinforce the cable at its stress points. This ensures the finished product can withstand even the most demanding routines and perform above and beyond expectation to deliver a cable that borders on indestructible.",2
Clothing & Accessories,"VIMAL Winter King Blended Thermal Top & Pyjama Set for Boys White Vimal Kids Thermals Are Made With Speical Soft Fabric , Keeping In Mind The Soft Skin Of Kids . As Known By The Name Vimal Thermals Act As A Saviour In The Chilly Weathers Of Winters . By Manufacturing These Thermals Vimal Has Added One More Feather To Its 40 Years History Of Serving People.",1
Household,"Floraware Modern Fruit and Vegetable Juicer, 250ml, Green Floraware fruit and vegetable juicer green is a high quality juicer. This juicer gives more juice and less pulp to throw away. Retains original fruit taste. Comes with extra large metal feed tube and metal handle for juicing whole fruit such as apples and bananas. Patented anti-drip system for serving clear and fresh juice straight from the juicer. Easy manual operation. Handy and comfortable to use. Its design and advanced technology makes it 100 percent leak proof and is specifically designed to extract maximum juice from juicy as well as hard fruits, vegetable. All parts are easily detachable for easy manual wash. Made from abs plastic and stainless steel. Food grade material with metal handle which are totally harmless to health. Its vacuum base firmly fix it with working platform for a steady sturdy operation. This original juicer is good for orange, pineapple, grapes, sweet lime, water melon, pomegranate, bitter gourd, palak, tomato etc. Wash and dry after use. Create dozens of fresh juice glasses in minutes. Create special juices and mock tails the easy way. Non electrical. Easy to operate. Large screw to maximum pressure for juice. Steel handle of high quality. Product color may slightly vary due to photographic lighting sources or your monitor settings.",3
Clothing & Accessories,ALOFT kids Multicolor Plain Cotton Pants (Pack of-5pcs) These products from Aloft are made from pure soft cotton for kids. They are comfortable and durable and come in assorted colors.,1
Electronics,"Pioneer SBX-101(B) Soundbar Not feeling a complete movie experience? Popular Music Video sounds dull and soft? It’s time to upgrade the sound system for your TV! With the latest Pioneer Speaker Bar System SBX-101, it delivers big,immersive sound in a relatively affordable package, making it worthy of your living room, no matter what your needs are. Whether you're watching an explosive action movie or just kicking back with some music,the SBX-101 has enough deep bass and crisp highs to make all of your media shine. Although the SBX-101 has a slim and lightweight design, it provides stunning sound,and a wide range of connectivity for most TV and AV products in the market to maximize compatibility. With a wireless connected subwoofer, the position of the speaker can be more flexible. You can easily play music files via the USB interface. In addition, with the built-in Bluetooth function, you can also stream music from your smart phone with ease.",2
Books,Constitutional Law-I (Based On New Syllabus),0
Electronics,"Lowepro Tahoe BP150 Camera Backpack (Black) Colour:Black   An active life needs a focused pack. That's what the Tahoe BP 150 offers. Its customizable and well-padded main compartment and roomy front pocket offer plenty of storage for a day's worth of essential gear, including a tablet. Spacious and adjustable interior features padded dividers to easily customize camera kit. Main compartment features an UltraFlex panel that folds down to create more space for personal gear and less camera gear, or whatever your day calls for. Remove all interior dividers and use Tahoe 150 as a full daypack. Light grey interior makes it easy to locate and store gear. Roomy pocket includes organized storage for daily essentials, plus a protective CradleFit pocket for up to a 10-inch tablet. Subtle and zippered outer pocket offers space for earbuds, pens, keys, smartphone and smaller items. Tall, stretch-mesh pockets accommodate large water bottles or other quick-grab items you want throughout the day. Convenient grab handle provides an extra carry option. Softly padded shoulder straps adjust for a comfortable fit. Weather-resistant materials help safeguard your gear from the elements",2
Clothing & Accessories,"SAJANI Men's Cotton Lungi, 2.5 m (Multicolour, Free Size) -Pack of 2 Very durable and easy to dry. Please wash dark colors separately. It may lose 3-4% color on first wash. Size may vary +/ - 2 inches. Color is of actual product. If you have special request, please message before getting.",1
Household,"MP WOOD Furniture Altavista Nectar Solid Wood Bar Cabinet (Mahogany Finish) MP WOOD FURNITURE India brings you Bar Cabinet. The full range comprises of Solid Wood Bar Furniture Cabinet. Bar Unit Furniture are made of solid wood such as Mango Wood. It is available in various finishes such as Teak, Mahogany or Walnut etc. As Manufacturer of the product, We can offer you Customized finishing and bar design as per customer requirement. Quality Assurance: - Solid Wood Bar Unit Trolley & Cabinet is crafted by traditional Craftsmen who are experts in making ethnic Bar Furniture. As these are handmade, there may be a bit of variation in Color as appearing in the image but product functioning will remain the same. if you have any query, please call on 8802621101 or mail us on mpwoodfurniture@gmail.com. Bulk order or Customization is also possible.",3
Books,Mosby's Review Questions for the National Board Dental Hygiene Examination,0
Books,"History of Indian Cinema About the Author Renu Saran is a prolific and dynamic author who has written various books on a wide range of subjects, from cinema to famous personalities. Some of her well known works include Choose Your Career, World Famous Women, World Famous Men, Indira Gandhi, Dhirubhai Ambani, Diamond English English Dictionary, Freedom Struggle of 1857 and Dynamic Memory Modern Essays For College Students.",0
Household,Town Square Miniatures Dolls House Garden Furniture White Wrought Iron Patio Set Table 4 Chairs,3
Clothing & Accessories,"Wintage Men's Poly Cotton Nehru Jacket Waistcoat Wintage is a market defining brand providing quality clothing at economy prices. We are pioneers at what we do- that is making quality garments.  We have ONE SIMPLE GOAL- To make the BEST possible garment in the price range and keeping our customers satisfied.  SIZE GUIDE:  36: Shoulder-16"", Sleeveless, Chest-40"", Waist-38.5"",Length-28""  38: Shoulder-16.5"", Sleeveless, Chest-42"", Waist-40.5"",Length-28.5""  40: Shoulder-17"", Sleeveless, Chest-44"", Waist-42.5"",Length-29""  42: Shoulder-17.5"", Sleeveless, Chest-46"", Waist-44.5"",Length-29.5""  44: Shoulder-18"", Sleeveless, Chest-48"", Waist-46.5"",Length-30""  46: Shoulder-18.5"", Sleeveless, Chest-50"", Waist-48.5"",Length-30.5""  48: Shoulder-19"", Sleeveless, Chest-52"", Waist-50.5"",Length-31""  50: Shoulder-19.5"", Sleeveless, Chest-54"", Waist-52.5"",Length-31.5""",1
Electronics,"Yamaha PSR-E-363 61-Key Touch Sensitive Portable Keyboard Size:E363   Touch-sensitive keys allow expressive dynamic control Play the keys heavily and you'll get louder tones, or play softly to achieve quieter sounds. The touch-sensitive keyboard will accurately reflect every nuance of your playing, making your performances musically expressive.",2
Electronics,Lifestyles of the Laptop Cafe                                                                                                                                                                                                                                                                Import,2
Books,"Bharat Mein Jansanchar (Mass Communication In India In Hindi) About the Author An eminent media and communications expert, Keval J. Kumar is the founder-director of RECMER (the Resource Centre for Media Education and Research), Rune, as well as a Visiting Faculty at MICA (Mudra Institute of Communication), ISB&M (International School of Business and Media), and Indira School of Communication. He has authored seven books, including Media Education, Communication, and Public Policy: An Indian Perspective, and The Complete Guide to Mass Communication. He earned his doctorate in Mass Communication from the University of Leicester, UK, and has taught at several institutions including, Ohio State University, USA, Jacobs University, Bremen, Germany, Bahrain Training Institute, Manama, and Symbiosis Institute of Mass Communication, where he was also the Director. He was the Chief Advisor to the 'Media Studies' committee formed for NCERT's syllabus and textbooks, and many of his articles have been published in academic journals and books on Communication. An Associate Member of ORBICOM, the Association of UNESCO Chairs in Communication, he also Chaired the Media Education Research Section, International Association of Media and Communication Research (IAMCR), from 1998 to 2006.",0
Electronics,"Panasonic Battery Eneloop Pro Upto 2550mAh 4xAA Rechargeable Ni-MH Battery BK-3HCCE/4BN Ni-MH rechargeable batteries. Furthermore, they supply energy for longer than traditional Ni-MH batteries. Traditional Ni-MH batteries fail to work once the voltage drops below 1.1 volts, whereas Eneloop batteries keep the voltage level over 1.1 volts for a longer time. For photographers who use very high drain equipment, Eneloop can therefore be the difference between missing and capturing that perfect shot. Free battery case.",2
Electronics,"RSC POWER+ Dash Charger Adapter and Type C Cable for One Plus 6 RSC POWER+: color : red n white :: about this product : built in the quintessential, minimalistic OnePlus style, our charger carries simplicity. Safely recharge your OnePlus 3 ; OnePlus 3t at maximum speeds. We've put our chargers through a series of rigorous safety and durability tests, and each unit features several built in safeguards to prevent overheating and overcharging. Lightweight and compact, it will always be there when you need it. Input:100-240v-50/60hz 0. 6A output: 5. 0V - 4a dimensions:9 x 9 x 4cm weight: 30g in the package : 1 PC charger, 1 PC data cable disclaimer: this charger is compatible with the OnePlus 3 ; OnePlus 3t OnePlus 5. Ensure that any other devices you charge with the OnePlusUSB power adapter have compatible current and amperage requirements this cable is only suitable for OnePlus 3 ; OnePlus 3t OnePlus 5 with Type C connector.",2
Books,"Car Air Purifier, YONTEX Ionic Air Cleaner Ionizer with 2 Smart USB Port Smart Car Charger - Removes Smoke, Bad Smell and Odors Eliminator - Care Your Family's Health [Black]",0
Books,"Gender Trouble: Feminism and the Subversion of Identity About the Author Judith Butler is Maxine Elliot Professor in the Departments of Rhetoric and Comparative Literature at the University of California, Berkeley. She is the author of The Psychic Life of Power, Excitable Speech, Bodies that Matter, and Frames of War.",0
Books,Concise Dictionary of Proverbs: Making Use of Proverbs  To Write Attractive English,0
Clothing & Accessories,"Sparx Men's Running Shoes Product Description Sparx footwear is exclusively designed to match the latest trends of the new generation. Add this stylish pair of Sparx SX0502G to your collection, it comes with the durable outer material and a comfortable fit. 				    	 					 brand_description Sparx, the most stylish range of shoes, sandals and slippers are exclusively designed to match the latest trends of the new generation. Known for its sturdy and stylish designs, Sparx is an iconic youth brand for those who dare to explore the world. Sparx is a spectacular range of footwear from the house of Relaxo Footwears Ltd., a name trusted among millions of people in India and across the world for delivering unmatched quality. Since its inception, the company has established a benchmark for bringing the finest range of footwears.  A perfect combination of comfort, style, and workmanship, Sparx is all about confidence and making a fashion statement. Its flaunting design pattern sparks a cool statement as you take a step ahead in them.  Sparx, the most stylish range of shoes, sandals and slippers are exclusively designed to match the latest trends of the new generation. Known for its sturdy and stylish designs, Sparx is an iconic youth brand for those who dare to explore the world. Sparx is a spectacular range of footwear from the house of Relaxo Footwears Ltd., a name trusted among millions of people in India and across the world for delivering unmatched quality. Since its inception, the company has established a benchmark for bringing the finest range of footwears.  A perfect combination of comfort, style, and workmanship, Sparx is all about confidence and making a fashion statement. Its flaunting design pattern sparks a cool statement as you take a step ahead in them.",1
Household,"Orpat Express 250-Watt Chopper (Purple) Product Description Life is made user friendly with ease of operating home appliances at orpat. The company has diversified in to this segment of consumer durables and home appliances with a big basket of home appliances ranging from hand blender, irons, mixer grinders, toasters, ovens, heaters, and fans etc. 				    	 					 From the Manufacturer",3
Clothing & Accessories,"NewMom Seamless Maternity Support Belt ! Pregnancy Support Belt for Women! Gently Lift Weight Off Your Lower Back! with no irritating Seams!! Relieves pressure off your lower back & abdomen Features: 1. Stretches to accommodate the growing tummy without being tight, Helps ease pressure on the lower back and belly & Promotes proper posture 2. New Mom Maternity Support Belt helps support your lower back and baby bump during pregnancy and helps to ease back ache and pelvic pain. 3. Lifts and supports the abdomen and evenly distributes weight across the hips and back thereby easing pelvic pain and backache 4. Promotes proper posture and balance 5. Seamless, soft and breathable material gently wraps around the abdomen 6. Offers perfect coverage and fits discreetly under your normal clothes 7. Stretchable, elastic material supports the belly without compressing and progressively widens as the baby grows Why Seamless? 1. No seams, stitches or stiff underwire:Seamless, perfect fitting intimate wear for all day comfort 2. Better Fit: Eliminate the awkward creases and embarrassing bulges for smoother, sleeker look. 3. Enhanced comfort: The lack of seams provides for improved comfort as the body moves. They are non restrictive as well as non binding. 4. Durability: Seamless garments having no waistband or side seam failures which make it more durable",1
Clothing & Accessories,New Genration Fashion Hub Cotton Kurti for women and girls,1
Clothing & Accessories,LE BOURGEOIS Men's Cardigan Sweater Le Bourgeois Men's Trible Print fornt Opening Cardigan Sweater. Casual Premium Wool Fleece fabric which keeps you warm. Fabric 80% Wool 20% Nylon.,1
Clothing & Accessories,"Fallyn Tracksuit for Men Navy Blue (All Year Gear) All Year gear, also available in black colour",1
Clothing & Accessories,"Finesse Maternity Denim Pant Finesse Maternity Denim Pant offers you the most comfortable yet stylish Maternity clothing you would love to wear. Specially designed for your growing belly, high belly panel provides maximum support. Stretchable Knit Denim along with breathable Rib panel is for your comfort and style. For the pregnant women who normally wears jeans in offices or at home, this product is really great. Material quality is awesome and comfortable level product is great. You be happy after purchasing this product. You can wear it during and post pregnancy too.",1
Books,"Not Just an Accountant: The Diary of the Nations Conscience Keeper About the Author Vinod Rai has served with distinction as the comptroller and auditor general of India and has brought about a paradigm change in the institution. The systems and qualitative upgrades introduced by him have been endorsed within the country and internationally, bringing worldwide acclaim to the institution of the CAG of India. During the course of his career, Rai has had rich and varied experiences within the civil services. He has served over thirty-four years in various capacities at the regional and federal level. His contributions in Kerala have been acknowledged by those familiar with the state. He has also left an indelible mark on the financial sector of the nation. Rai lives with his wife in New Delhi.",0
Clothing & Accessories,"Khushal K Women's Cotton Printed Kurta With Printed Palazzo Set Impress Everyone With Your Stunning Traditional Look By Wearing This Beautiful Printed Cotton Kurta With Solid Cotton Palazzo Pant Set From The Hosue Of KHUSHAL. Fine Finish And Latest Designs, The Trendy Work & Designs Speak A Language Of Elegance And Felinity, Using The Finest Quality Fabrics And Is Trendy Fashionable As Well As Comfortable.It Is Light In Weight And Will Be Soft For Your Skin. This Suit Set Has A Soothing Colour And Will Lend You A Fresh Look This Season. The Perfect Choice For Any Occasion.",1
Electronics,"Cellularplatform Metal Wireless WS-858 Bluetooth Microphone Recording Condenser Handheld Stand with Speaker for Cellphone (Multi-Colour) Size name:Mic Only   Stereo effect and awesome live-sound: this is not a regular low karoke microphone. You get a professional tuning system, three-layer high-density noise reduction, intelligent mixing chip, compatible design, professional audio processor, the highest chipset with stereo speakers and stunning sound, more clear music rhythm with echo reverberation. Package content: wireless microphone karaoke, micro USB to aux cable, micro USB cable, user manual. Portable and high compatibility: fit for apple iPhone and android smartphones, ipad tablet, apple watch, bluetooth connection. You can also simply plug the aux cable (provided with the package) and enjoy music from your phone. Easy to operate. turn in on and it will show on the bluetooth of your device and once you select that you're connected built-in 1800mah lithium battery. You can continuously use it for 5-8 hours in the charge for 2-3 hours after full.",2
Electronics,"Epson L805 Single-Function Wireless Ink Tank Colour Photo Printer Printing method : On-demand inkjet (piezo electric), nozzle configuration : 90 nozzles black, 90 Nozzles per color minimum droplet size : 1.5 pl, With variable-sized droplet technology. Ink technology : dye ink printing resolution : 5,760 x 1,440 DPI PRINT, Printing Speed ISO/IEC : 24734 5.1 Pages/min monochrome, 5 pages/min color printing speed : 12 seconds per 10 x 15 cm photo (epson premium glossy photo paper), colors : Light magenta, magenta, yellow, light cyan, cyan, black. Paper/media handling: Number of paper trays 1 paper formats : A4, A5, A6, B5, C6 (Envelope), DL (Envelope), No. 10 (Envelope), Letter, 9 x 13 cm, 10 x 15 cm, 13 x 18 cm, 16:9, Legal duplex : manual output tray capacity : 50 sheets paper tray capacity : 120 sheets standard, 120 sheets maximum, 20 photo sheets media handling : Auto sheet feeder, Borderless print, CD / DVD.",2
Household,"Ambient Weather ObserverIP Module for WS-1000, WS-1001, WS-1200, WS-1400 Weather Stations (sold separately) Connect to WeatherUnderground: The WeatherUnderground is the most comprehensive weather server for storing, analyzing and viewing your weather station data. There is never a service fee, and once you begin reporting to WeatherUnderground, you receive FREE Data Hosting Services and FREE Member Benefits, including Email alerts and ""No Ads"", a $10/year value.",3
Electronics,"Gadget-Wagon Mr.Plus Caller ID Landline Phone with Back Light, Answering Machine OGM and Polyphonic Ringtones (Black) Colour:Black   FSK / DTMF compatible with auto detection. 50 Incoming and 10 outgoing number memory. Pulse / done dialing mode Caller ID display with 16 digit big numerals to make it easy to read from a distance with backlit LED. Recordable voice message OGM with polyphonic ringtones. 3 Sets alarm clock function. Polyphone tones- 8, ordinary tones -5 Redial and Pause function. Hands-free dialing speaker function to make it easy without having to hold the receiver while talking. 2- One touch and 10 two- touch memories. Hold function with polyphonic music. Pre dial and edit function.",2
Books,"How to Build a Car: The Autobiography of the World’s Greatest Formula 1 Designer Review ‘Quite superb…This book pulls off the remarkable feat of being a first-class autobiography and textbook all in one. For those studying the evolution of the F1 car between the late ‘80s and now, it decodes all the mysteries previously hidden by competitive secrecy while revealing the man behind most of the greatest cars of that time period.’ Motorsport Online‘In this gripping memoir, Newey reveals the highs and lows of his race to the top.’ Mail on Sunday Books of the Year‘The greatest Formula One designer of his – or any other – age.’ Sunday Times‘Newey has a legitimate claim on the title of ""Britain’s greatest living engineer"".’ Daily Telegraph‘Adrian Newey has created more winners than all the super-brain computers in Formula One put together.’ The Times‘Creative genius… the leading Formula One designer of his generation… refreshingly honest.’ Guardian‘The most accomplished man in the world’s most glamorous sport… The Michelangelo of motorsport.’ New Yorker‘If you love finding out how things work, if you’re a car nut, if you’re intrigued by the sport’s politics and even if your interest in Formula 1 is but a passing one, you absolutely must read this book.’ Octane Magazine‘How to Build a Car encapsulates through Adrian’s remarkable life story, precisely what makes Formula 1 so thrilling.’ Car Mechanic‘How to Build a Car gives a tremendous insight…fantastically entertaining.’ Daily Express‘Honest…hilarious…inspirational.’ Motorsport Magazine‘Illuminating reading.’ F1 Racing Magazine‘How to Build a Car is an emphatic hit. It’s one of the most enjoyable F1 books I’ve read in quite some time.’ WTF1‘How to Build a Car is an essential read for all fans of motor racing.’ F1 Fanatic‘Adrian Newey is one of Formula 1’s finest technical brains… The prose is sharp, punchy… you learn almost without realising.’ Autosport About the Author Adrian Newey OBE is arguably the greatest car designer in the history of Formula One. Newey has worked in both Formula One and Indy Car racing as an immensely successful race engineer, aerodynamicist, designer and technical director. After designing championship winning Formula One cars for Williams F1 and McLaren, Newey moved to Red Bull Racing in 2007, where he is currently Red Bull Racing's Chief Technical Officer. He has won 10 Formula One Constructors' titles (more than any other designer), helping some of the world's most famous drivers to Drivers' championship wins, includingover 150 Grands Prix.",0
Electronics,"Esypos Cash Drawer, 41 cm X 40 cm X 9 cm Colour:Black   Steel Constructed Casing, 5 Bills and 3 to 6 Coin Trays Removable 3/4/5/6-coin, Durability upto one Million operations I/O Interface with POS Printers and ECR. 3- Position Key Lock",2
Books,"Understanding Nursing Research,6e: Building an Evidence-Based Practice About the Author By Susan K. Grove, PhD, RN, ANP-BC, GNP-BC, Professor, College of Nursing, The University of Texas at Arlington, Arlington, Texas, Adult Nurse Practitioner, Family Practice, Grand Prairie, Texas, Jennifer R. Gray, PhD, RN, FAAN, George W. and Hazel M. Jay Professor, College of Nursing, Associate Dean and Chair, Department of MSN Administration, Education and PhD Programs, The University of Texas at Arlington, Arlington, Texas and Nancy Burns, PhD, RN, FCN, FAAN, Professor Emeritus, College of Nursing, The University of Texas at Arlington, Arlington, Texas, Faith Community Nurse, St. Matthew Cumberland Presbyterian Church, Burleson, Texas.",0
Books,"Add-gear™ Child Kids Protective Gear Set Knee Pads Elbow Pads with Wrist Guards for Cycling Skateboarding Inline Skating Scooter Rollerblading BMX Bike Riding. Kids Protective Gear Set Children Cycling Knee Pads and Elbow Pads with Wrist Guards Our multi function protective gear set are designed for kids sports safety protection.Including knee pads elbow pads with wrist guards.Durable and comfortable material can provide comprehensive protection to you kids. Suitable Sports:Riding,Skating,Scooter,Rollerblading,ATV,Skateboard,BMX and Other Extrem Sports.   Features:  1.Durable,Shock,Absorbing,Comfortable and Safety design.  2.Protect knee/elbow/wrist during sports and outdoor activities.  3.Special Design for Children,Kids: It is the good choice as the gift for Children's Day,Christmas Birthday,ect  4.Adjustable elastic velcro strap on knee and elbow pads makes it easy to get on and off  5.Thumb Hole Design: Specially designed for your thumb,increase finger flexibility  6.High toughness material for better protection  7.Suitable for: Skateboarding Scooter Roller Skate Inline Skating Cycling Bicycle Mountain Biking Road Bike BMX MTB and Other extreme sports.   Specifications:  Size:Suitable for:3-10 years-old Material: Polyester,PP,PE  Weight:230g-300g  Type: Knee Pads+Elbow Pads+Wrist Pads   Package:  2 x Knee Pad  2 x Elbow Pad  2 x Wrist Pad  1 x storage bag   Note:  If you have any question please contact us freely,thanks!",0
Clothing & Accessories,"BODYCARE Cartoon Printed Boys Vest Pack of 6 from Bodycare Brings a new collection of Boys Vest Pack of 6, 100% cotton fabric with attractive design and stylish trendy look.",1
Electronics,AmazonBasics USB 3.1 Type-C to 3 Port USB Hub with Ethernet Adapter - Black,2
Clothing & Accessories,Cherokee by Unlimited Boys' Checkered Regular Fit Shirt Cherokee apparel junior shirt. It is made of 100% cotton twill fabric with checks pattern.,1
Electronics,ADL Music Discover C180 Bluetooth Headphones with Mic/AUX Input (Green),2
Books,"Sodhanis Indirect Tax GST-Customs-FTP 2-Modules set for CA Final May 2019 (470 Illus, 815 MCQ) ♦ As per Syllabus for CA Final May 2019 notified on 30-11-2018 ♦ Amended upto 31-10-2018 (Finance Act, 2018 & applicable portions of CGST Amendment Act, 2018) ♦ Solved Papers Nov. 2018 (Old & New) ♦ ICAI Select Cases + Advance Rulings on GST by AAR/AAAR",0
Clothing & Accessories,"K's Creations Women's Cotton Lycra Churidar Leggings (UMLEG011, Multicolour, Free Size) - Pack of 5 Women's Cotton Lycra Churidar Leggings which is made of durable material.",1
Household,"Pigeon Milk Boiler, 2 Litres The high quality material also takes care of your health and hygiene. Its very sturdy and is made up of thick gauze, and is very easy to clean. Its exclusive features will give you complete satisfaction while you use it. Elegantly designed, Desire cookware set brilliantly blends into any kitchen decor. Desire ware are durable and elegant available for most clean & hygienic cooking and serving in the same ware. Desire is more than just a cooking fantasy. Instructions to use your milk boiler 1) Your milk boiler is made of high quality double walled stainless steel. Please use as below. 2) Unscrew the whistle, slant the vessel and use the plastic funnel and pour water between the 2 Layers of your SS milk boiler. 3) Affix the vessel and pour milk into the boiler and use over induction cooker / LPG Stove 4) Please check water level and restore the water level everyday. 5) If the milk boiler is used without pouring in water between the walls, It will blacken because only the outer layer will get heated. Kindly follow this procedure. Do’s: 1. Once washed, wipe the dish dry to prevent retention of water. 2. Make sure all residue is cleared out from previous usage, when using again. Don’ts: 1. Do not microwave. 2. Do not dry directly under the sun. 3. Prevent using a mesh scrub to clean the product.",3
Clothing & Accessories,"BODYCARE Women's Cotton Classic Panty(26C)Pack of 3 This pack of 3 panties will be an ideal pick for women seeking comfort. Made of stretchable fabric, these panties ensure comfort and breathability. Ensuring maximum rear coverage, these bikini panties will make you feel awesome.",1
Household,"CERO Silica Gel de Humidifier Moisture Humidity Dampness Absorber (250g) CERO Silica Gel is a mobile De Humidifier that Absorbs Moisture Humidity Dampness. It has blue Indicator Beeds to indicate the status of absorption. Used in Cupboard | Kitchen Cabinet | Others. Protects Electronics, Furniture, Clothes and Health. REDUCES Allergies, REMOVES Musty Smells, PREVENTS Mould & Fungus.",3
Books,"Mass Communication: Principles And Concepts, 2E This book is designed to give a general and comprehensive view of mass communication to the student. The book is unique in presenting mass communication journalism advertising public relations photography broadcast media media laws and media research and new media technologies in one volume. It is a challenging book and an essential reading for all students teachers trainers researchers practitioners professionals and educators of mass communication. The mass communicator needs to know the basic role of communication principles and concepts be it the print or electronic medium or performing arts. The book serves the purpose of all students of mass media and journalism and learners in the field as it is designed specially keeping in focus the academic syllabi of leading universities and colleges.The book includes all aspects of media literacy as it is an essential survival skill for everyone in the society. This book presents an overview of the social and communication roles of various channels of mass media covering various operational areas and is designed to serve as a textbook for all students of mass communication journalism advertising public relations.",0
Household,"Godrej Secreto Electronic Safe with Free Demo (Silver, Powder Coated Finish) This safe is an ideal replacement for the drawer in your desks or wardrobes and provides reliable protection to your valuables.",3
Clothing & Accessories,"Jaipuri Fashionista Cotton Women's Maxi Long Dress Jaipuri Printed with Atteched Jacket (Free Size Upto 44-XXL) Jaipuri Fashionista Presents Jaipuri Print Long women's Maxi one Piece Dress With Atteched Jacket,Free Size:upto 44inch (XXL),length: 50 inch,Neck Type: Roundand & Short Sleeve Attached Inside,Type: Best worn in Daily Wear, festivals, casually in Parties,Beach Wear And Loose Fit Maxi Dress.Color Will Not Bleed, Fast Colours, No Shrinkage,Washing instruction: Machine wash, Wash in normal water, Do not brush & bleach.Complete Your Ethnic Ensemble with Multi -Colored Full Long Jaipuri Print Maxi from the house of Jaipuri Fashionista.Maxi is Made in cotton fabric, the Maxi are light in weight and soft against the skin.",1
Electronics,"Westcott UTM Map Grid Reader/Plotter, 5"" by 6"", Transparent (GR-2) Universal Transverse Mercator (UTM) Grid Reader see through and easy to read. 5x6.5 inches.",2
Clothing & Accessories,John Players Men's Skinny Jeans John Players Men's Skinny Jeans,1
